Job Title,Location,Sector,Demand Level,Avg Salary (INR),Skills Required,Growth Trend
Data Analyst,Ahmedabad,IT/Tech,High,35000-60000,"SQL, Python, Excel",Rising
Agricultural Specialist,Rajkot,Agriculture,Medium,25000-45000,"Crop Management, Soil Testing",Stable
Solar Technician,Gandhinagar,Renewable Energy,Very High,20000-35000,"Electrical Safety, Panel Installation",Rapidly Growing
Textile Designer,Surat,Textile,Medium,30000-50000,"CAD, Fabric Knowledge",Steady
Digital Marketer,Vadodara,Marketing,High,25000-50000,"SEO, Social Media",Rising
Dairy Manager,Anand,Dairy/FMCG,Medium,40000-70000,"Supply Chain, Quality Control",Stable
Chemical Plant Operator,Bharuch,Chemicals,High,25000-40000,"Safety Protocols, Machinery Operation",Steady
Nurse,Ahmedabad,Healthcare,Very High,20000-40000,"Patient Care, Nursing",Rising
Accountant,Surat,Finance,High,25000-45000,"Tally, GST Filing",Stable
Teacher,Rajkot,Education,Medium,20000-40000,"B.Ed, Subject Expertise",Steady
Mobile App Developer,Ahmedabad,IT/Tech,Very High,40000-80000,"Flutter, React Native",Rapidly Growing
